Version	Since	Object	Element	Order	Occurrence	Group	Type
3.0.0	1.1.0	AccessInformation	RepositoryID	1	1		
3.0.0	1.1.0	AccessInformation	Availability	2	0		
3.0.0	1.1.0	AccessInformation	AccessRights	3	0		
3.0.0	1.1.0	AccessInformation	AccessURL	4	+		
3.0.0	1.1.0	AccessInformation	Format	5	+		
3.0.0	1.1.0	AccessInformation	Encoding	6	0		
3.0.0	1.2.0	AccessInformation	DataExtent	7	0		
3.0.0	1.1.0	AccessInformation	Acknowledgement	8	0		
3.0.0	1.1.0	AccessURL	Name	1	0		
3.0.0	1.1.0	AccessURL	URL	2	1		
3.0.0	2.3.0	AccessURL	Style	3	0		
3.0.0	2.2.2	AccessURL	ProductKey	4	*		
3.0.0	1.1.0	AccessURL	Description	5	0		
3.0.0	1.3.0	AccessURL	Language	6	0		
3.0.0	1.3.4	Annotation	ResourceID	1	1		
3.0.0	1.3.4	Annotation	ResourceHeader	2	1		
3.0.0	1.3.4	Annotation	ImageURL	3	0		
3.0.0	1.3.4	Annotation	AnnotationType	4	1		
3.0.0	1.3.4	Annotation	PhenomenonType	5	*		
3.0.0	1.3.4	Annotation	ClassificationMethod	6	0		
3.0.0	1.3.4	Annotation	ConfidenceRating	7	0		
3.0.0	1.3.4	Annotation	TimeSpan	8	*		
3.0.0	1.3.4	Annotation	ObservationExtent	9	*		
3.0.0	1.3.4	Annotation	Extension	10	*		
3.0.0	1.3.3	Association	AssociationID	1	1		
3.0.0	1.3.3	Association	AssociationType	2	1		
3.0.0	1.3.3	Association	Note	3	0		
3.0.0	1.1.0	AzimuthalAngleRange	Low	1	1		
3.0.0	1.1.0	AzimuthalAngleRange	High	2	1		
3.0.0	1.1.0	AzimuthalAngleRange	Units	3	1		
3.0.0	1.1.0	AzimuthalAngleRange	Bin	4	*		
3.0.0	1.3.0	Bin	BandName	1	0		
3.0.0	1.1.0	Bin	Low	2	1		
3.0.0	1.1.0	Bin	High	3	1		
3.0.0	2.5.0	BoundaryConditions	ParticleBoundary	1	0		
3.0.0	2.5.0	BoundaryConditions	FieldBoundary	2	0		
3.0.0	1.1.0	Catalog	ResourceID	1	1		
3.0.0	1.1.0	Catalog	ResourceHeader	2	1		
3.0.0	1.1.0	Catalog	AccessInformation	3	+		
3.0.0	2.2.9	Catalog	ProviderName	4	0		
3.0.0	1.1.0	Catalog	ProviderResourceName	5	0		
3.0.0	1.1.0	Catalog	ProviderVersion	6	0		
3.0.0	1.1.0	Catalog	InstrumentID	7	*		
3.0.0	1.1.0	Catalog	PhenomenonType	8	+		
3.0.0	1.1.0	Catalog	TimeSpan	9	0		
3.0.0	1.1.0	Catalog	Caveats	10	0		
3.0.0	1.1.0	Catalog	Keyword	11	*		
3.0.0	1.1.0	Catalog	InputResourceID	12	*		
3.0.0	1.3.0	Catalog	Parameter	13	*		
3.0.0	1.3.0	Catalog	Extension	14	*		
3.0.0	1.2.0	Checksum	HashValue	1	1		
3.0.0	1.2.0	Checksum	HashFunction	2	1		
3.0.0	2.5.0	Collection	ResourceID	1	1		
3.0.0	2.5.0	Collection	ResourceHeader	2	1		
3.0.0	2.5.0	Collection	AccessInformation	3	+		
3.0.0	2.5.0	Collection	Member	4	+		
3.0.0	2.5.0	Collection	Extension	5	*		
3.0.0	1.1.0	Contact	PersonID	1	1		
3.0.0	1.1.0	Contact	Role	2	+		
3.0.0	2.3.1	Contact	StartDate	3	0		
3.0.0	2.3.1	Contact	StopDate	4	0		
3.0.0	2.3.1	Contact	Note	5	0		
3.0.0	1.1.0	CoordinateSystem	CoordinateRepresentation	1	1		
3.0.0	1.1.0	CoordinateSystem	CoordinateSystemName	2	1		
3.0.0	3.0.0	CutsDescription	PlaneNormalVector	1	1		
